,TEMP,PH,CONDUCTIVITY,DO,BOD
939,7.2,7.8,630,,17
940,7,7.7,620,,8
941,7.4,7.4,700,,2
942,4.4,7.4,570,,2
943,11,7.45,1930,,<2
944,3.6,7.55,560,,7
945,6.2,7.7,710,,<2
946,10,7.7,920,,<2
947,5.8,7.7,590,,<2
948,8,,520,35,3
949,8,,540,77,4
950,8.2,,550,79,<2
951,6.6,7.71,580,65,3
952,7.6,,520,88,<2
953,7.4,,480,87,3
954,7.6,,830,7.3,3
955,,7.55,1480,,<2
956,7.4,,640,63,<2
957,,,,,37
958,,,,,5
959,,,,,2
960,,7.4,857,,3
961,,,,,4
962,,,,,4
963,,,,,3
964,,,,,4
965,,,,,12
966,,,,,10
967,16,6.85,680,3,
968,18.4,8.4,310,160,
969,14,7.55,330,71,
970,13.8,7.3,400,59,
971,16.4,7.55,330,101,
972,14.2,7.35,390,55,
973,12.6,7.15,420,67,
974,14.8,7.55,430,95,
975,13.4,7.4,480,63,
