SAMPLE,Weather,Location,SITE,TEMP,PH,CONDUCTIVITY,DO,Turburdity,Nitrite,NITRATE,TOTAL_COLI,E-Coli,FEACEL,AMONIAUM,BOD,COD,PHOSPHATE,SALINITY,WQI
02-Jun-09,,Cadogan Road,10,13.83,6.28,960.2,34.5,,,,360000,49000,,2.78,6,,0.53,,82.82721405
02-Jun-09,,St Georges Park Lake,11,20.78,6.61,698.3,71,,,,2600,400,,0.08,7,,< 0.10,,79.38687908
03-Jun-09,,Dubbers Lane,12,13.3,4.58,1932.7,59.6,,,,28000,3800,,37.3,< 2,,< 0.10,,68.5599017
03-Jun-09,,Eastville Park Lake,13,23.48,5.59,621,56.1,,,,600,200,,0.1,9,,< 0.10,,74.11564542
03-Jun-09,,Lower Grove Road,13a,14.31,4.28,836,91.9,,,,26000,6000,,0.46,4,,0.59,,32.55396242
03-Jun-09,,Snuff Mills,14,15.42,5.01,887.9,81.8,,,,<200,<200,,0.13,< 2,,0.19,,46.30521215
03-Jun-09,,Wade Street,14a,17.45,5.75,910.7,140.2,,,,3800,1600,,0.18,< 2,,0.23,,47.34331673
03-Jun-09,,Mina Park ,15,13.76,5.54,1058.1,101.7,,,,46000,5400,,0.14,11,,0.28,,84.39218137
02-Jun-09,,Conham Vale,16,18.58,6.63,749.8,135.5,,,,600,400,,0.01,4,,0.15,,56.74713235
30-Jun-09,,Trowbridge Road,2,16.7,7.9,534.9,82.1,,,,140000,15000,,0.12,2,,0.23,,70.59548203
30-Jun-09,,Badocks Wood,2a,17.2,7.78,352.4,84.3,,,,68000,18000,,0.04,3,,0.16,,68.50765523
30-Jun-09,,Coombe Dingle,3,17.03,8.03,739.2,97,,,,38000,9400,,0.02,< 2,,0.24,,83.59233634
30-Jun-09,,Crow Lane,3a,17.13,7.92,500.1,78.8,,,,41000,11000,,0.18,2,,0.13,,70.63715686
01-Jul-09,,Ashton vale,4,17.08,7.8,1051.3,68.9,,,,26000,13000,,0.17,< 2,,< 0.10,,92.50714843
01-Jul-09,,Hartcliffe Way,5,16.37,7.04,459.1,92.9,,,,10000,2200,,0.08,3,,0.25,,58.88466503
01-Jul-09,,Briscoe's Avenue,5a,16.41,7.93,456.9,71.4,,,,240000,12000,,0.35,< 2,,0.31,,79.95651934
01-Jul-09,,Manor Wood,6,16.64,7.53,718.8,77.1,,,,37000,9000,,0.05,< 2,,0.7,,79.37765496
01-Jul-09,,Cotswold Road,7a,16.79,7.58,716.6,56.7,,,,22000,4600,,0.12,< 2,,0.21,,83.58651117
01-Jul-09,,Brixham Road,7b,16.86,7.52,697.5,58.9,,,,120000,27000,,0.31,< 2,,0.21,,81.89240987
01-Jul-09,,Allison Road,9,18.86,7.66,649.4,84,,,,25000,8200,,0.08,2,,0.41,,69.50875817
01-Jul-09,,Cadogan Road,10,17.27,7.22,794.4,36.7,,,,380000,33000,,0.19,5,,0.34,,87.74670752
01-Jul-09,,St Georges Park Lake,11,23.49,8.2,650.4,71.3,,,,800,200,,0.03,7,,< 0.10,,101.070482
30-Jun-09,,Dubbers Lane,12,15.29,7.65,1246.3,67,,,,27000,6600,,17.4,< 2,,< 0.10,,95.26838209
30-Jun-09,,Eastville Park Lake,13,23.67,8.21,500.7,80.6,,,,2000,1600,,0.04,9,,< 0.10,,104.7047876
30-Jun-09,,Lower Grove Road,13a,16.42,7.64,513.9,82.8,,,,22000,4800,,0.5,< 2,,0.3,,75.14859451
30-Jun-09,,Snuff Mills,14,17.57,8.22,689.7,90.8,,,,5600,1400,,0.06,< 2,,0.2,,86.23604549
